Sample.id,Species,AMF,Cd.leaf,Pb.leaf,Zn.leaf,Cd.soil,Pb.soil,Zn.soil
AA57A,AA,0.231578947,0.778383491,3.19612438,123.6435766,NA,54.66781708,987.769629
AA57B,AA,0.134020619,6.538503313,11.485826,415.309004,28.79343639,344.5605659,2637.681581
AA64A,AA,0.134831461,7.212404827,24.17547835,283.9810035,NA,NA,NA
AA64B,AA,0.18705036,8.751603426,85.28675467,427.9492697,36.38013013,1966.497748,3022.522523
AA65A,AA,0.033707865,15.78647653,47.11498319,899.6245413,238.4501453,931.6063045,7681.786553
AA65B,AA,0.04,29.98061364,227.1772907,802.0885823,88.95300217,2997.541395,5212.489547
AA67x,AA,0.08,5.969763339,23.59007118,236.9342033,13.15686275,380.2857143,1335.067227
AA68A,AA,0.134831461,27.80082313,32.12080914,943.2708262,16.0237435,231.7873056,1520.241953
AA69A,AA,0.15,7.651867056,45.91120233,836.5291131,16.26358446,246.9809305,2675.300288
AA69B,AA,0.126315789,NA,NA,NA,7.179677748,182.6887345,2282.86239
AA70x,AA,NA,31.22344047,96.96521665,2776.101079,NA,NA,NA
AA73A,AA,0.011111111,26.54405227,91.88325786,2438.240494,43.5750439,272.4434459,6594.034707
AA73B,AA,0.016853933,27.39859548,130.8927782,3392.619496,65.20792335,489.4586573,8820.990741
AA74A,AA,0.102150538,7.147017475,37.71079642,563.9083212,NA,63.07085292,530.930994
AA74B,AA,0.105527638,15.16430212,45.18878397,1728.141204,20.39691589,304.9682359,3077.186838
AA75A,AA,0.107142857,5.882614101,55.41707893,789.9668925,61.63935687,1264.71267,19799.93653
AA75B,AA,0.090909091,15.37047116,51.78356804,1239.300576,62.91118877,574.5298719,8292.3781
AA76A,AA,0.072874494,15.30147578,31.81108509,1110.376938,32.42043912,345.9697983,4955.95589
AA76B,AA,0,11.51366584,31.36098672,855.9368244,1.379137412,37.60448011,781.3273153
AA77A,AA,0.020618557,31.58704307,48.03009152,2550.657282,145.8808744,1184.78189,15691.83451
AA77B,AA,0,31.00690683,185.8276609,2993.02319,56.73911129,1285.803937,7602.102325
AA78A,AA,0.212121212,18.89669613,54.90863045,813.5303903,32.50449492,414.0664683,2940.071475
AA78B,AA,0.025,16.60540322,21.59946832,559.2990532,6.53551624,77.28507299,1503.531819
DF52A,DF,0.130952381,1.926959701,2.813702218,211.9996726,7.821108431,311.9025284,1399.876039
DF52B,DF,0.025,4.712843198,13.85855871,469.5811636,125.3992193,1328.89017,6552.109209
DF52C,DF,0.142857143,3.181167488,12.52584699,252.008112,36.793607,1926.367233,3457.489523
DF52D,DF,0.027027027,6.754650317,7.274238803,1069.96259,30.44957748,806.0124432,2514.794222
