"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_smoothed","new_tests_per_thousand","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","LegacyStringencyIndex","LegacyStringencyIndexForDisplay"
"1","ABW","Aruba","Latin America and the Caribbean",0.8,0,0,0,0,NA,NA,NA,NA,NA,NA,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA,101,3,945.994,28.099,NA,NA,"3","1","3","1","2","1","4","1","0","1","2","1","2","1","3","0",NA,"2","0","0","2","1","1","0","0","0",NA,"100","2","83.46","83.46","80","80"
"2","AFG","Afghanistan","Asia and the Pacific",48.6,369.2,8.6,9.4842,0.221,NA,NA,NA,NA,NA,NA,38928341,54.422,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,7072,173,181.667,4.444,NA,NA,"3","1","3","0","2","1","4","1","2","0","2","0","2","0","1","0",NA,"0",NA,"0","2","1","1","1","0","0",NA,"6402","57","76.33","76.33","75.48","75.48"
"3","AGO","Angola","Africa",1,0.6,0,0.0182,0,NA,NA,NA,NA,NA,84.78,32866268,23.89,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,48,2,1.46,0.061,NA,NA,"3","1","2","1","2","1","4","1","1","1","2","1","2","1","4","0",NA,"2","0","0","1","1","2","0","0","0",NA,"24","2","86.77","86.77","84.05","84.05"
"4","ALB","Albania","Europe",16.2,13.6,0,4.7258,0,NA,NA,NA,NA,NA,NA,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,948,31,329.418,10.772,NA,NA,"3","1","2","0","2","1","4","1","2","0","2","1","2","1","4","2","0","1","0","0","2","1","2","1","0","0",NA,"548","31","88.36","88.36","85.24","85.24"
"5","AND","Andorra","Europe",11.6,0.2,0.4,2.5884,5.177,NA,NA,NA,NA,NA,NA,77265,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,761,51,9849.22,660.066,NA,NA,"3","1","2","1","1","1","0",NA,"1","1","1","1","0",NA,"3","2","1","0","0",NA,"2","1","3","1","0","0",NA,"743","40","59.12","59.12","74.05","74.05"
"6","ARE","United Arab Emirates","West Asia",356.2,760.8,3.6,76.923,0.3638,NA,NA,NA,NA,NA,76.0133333333333,9890400,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,24190,224,2445.806,22.648,NA,NA,"3","1","2","1","2","1","4","1","1","1","2","1","1","1","4","0",NA,"2","0","0","2","1","3","2","0","0",NA,"6302","64","86.77","86.77","85.24","85.24"
"7","ARG","Argentina","Latin America and the Caribbean",111.2,298.4,10.6,6.6022,0.2344,3039,2.24775,2839.25,0.06275,NA,NA,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,8358,382,184.929,8.452,NA,NA,"3","1","2","0","2","1","4","1","2","1","2","1","1","1","4","1","1","2","0","0","2","1","1","2","0","0",NA,"3423","300","87.57","87.57","86.43","86.43"
"8","AUS","Australia","Asia and the Pacific",44,17,0.2,0.6666,0.0078,28478,40.7022,30739.4,1.2054,NA,NA,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,7060,99,276.864,3.882,1085870,0.935,"2","0","2","0","2","1","4","1","0",NA,"2","0","2","0","4","1","1","2","0",NA,"2","1","1","1","0","0",NA,"6586","97","68.26","68.26","63.81","63.81"
"9","AUT","Austria","Europe",123.8,43,1,4.7742,0.111,5565.8,40.1838,6528.6,0.725,NA,58.99,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,16179,629,1796.389,69.839,372435,0.729,"3","1","2","1","2","1","4","1","0",NA,"0","1","1","1","2","2","1","2","0","0","2","1","2","2","0","0",NA,"14662","628","71.42","58.99","68.81","65.24"
"10","AZE","Azerbaijan","Europe",45,105.8,1,10.4346,0.0988,NA,NA,NA,NA,NA,NA,10139175,119.309,32.4,6.018,3.871,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,3287,40,324.188,3.945,NA,NA,"3","1","3","1","2","1","4","1","0","0","2","1","2","1","4","2","1","0","0","0","2","1","2","1","0","0",NA,"1373","20","86.24","86.24","82.86","82.86"
