"","iso_code","country_name","world_region","past_cases","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","StringencyLegacyIndex","StringencyLegacyIndexForDisplay","GovernmentResponseIndex","GovernmentResponseIndexForDisplay","ContainmentHealthIndex","ContainmentHealthIndexForDisplay","EconomicSupportIndex","EconomicSupportIndexForDisplay"
"1","ABW","Aruba","Latin America and the Caribbean",0.6,0,0,0,0,NA,NA,NA,NA,NA,NA,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA,101,3,945.994,28.099,NA,NA,"3","1","2","1","2","1","4","1","0",NA,"2","1","2","1","3","2","1","0","0","0","2","1","1","1","0","0",NA,"101","3","78.7","78.7","76.43","76.43","68.59","68.59","71.97","71.97","50","50"
"2","AFG","Afghanistan","Asia and the Pacific",86.4,605.6,6.4,15.5568,0.1644,NA,NA,NA,NA,NA,NA,38928341,54.422,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,11173,219,287.015,5.626,NA,NA,"3","1","3","0","2","1","4","1","2","0","2","0","2","0","1","0",NA,"0","0","0","2","1","1","1","0","0",NA,"6402","57","78.7","78.7","75.48","75.48","60.9","60.9","71.97","71.97","0","0"
"3","AGO","Angola","Africa",0.2,3.4,0.2,0.1036,0.006,NA,NA,NA,NA,NA,81.48,32866268,23.89,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,69,4,2.099,0.122,NA,NA,"3","1","2","1","2","1","3","1","1","1","2","1","2","0","4","0",NA,"2","0","0","1","1","2","0","0","0",NA,"48","2","78.7","78.7","80.48","80.48","67.31","67.31","70.45","70.45","50","50"
"4","ALB","Albania","Europe",25.6,8,0.2,2.7798,0.0694,NA,NA,NA,NA,NA,84.26,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,1004,32,348.878,11.12,NA,NA,"3","1","2","1","2","1","4","1","2","0","2","1","2","1","4","2","0","1","0","0","2","1","2","1","0","0",NA,"712","31","89.81","89.81","88.81","88.81","80.77","80.77","84.09","84.09","62.5","62.5"
"5","AND","Andorra","Europe",3.2,0.2,0,2.5884,0,NA,NA,NA,NA,NA,NA,77265,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,763,51,9875.105,660.066,NA,NA,"3","1","2","1","1","1","0",NA,"1","1","1","1","0",NA,"3","2","1","0","0","0","2","1","3","1","0","0",NA,"761","51","52.78","50","74.05","71.19","55.77","61.54","56.82","54.55","50","100"
"6","ARE","United Arab Emirates","West Asia",509.6,860.6,3,87.0136,0.303,NA,NA,NA,NA,NA,NA,9890400,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,30307,248,3064.285,25.075,NA,NA,"3","1","2","1","2","1","4","1","1","1","2","1","1","1","4","0",NA,"2","0","0","2","1","3","2","0","0",NA,"9813","64","81.48","81.48","85.24","85.24","79.49","79.49","84.85","84.85","50","50"
"7","ARG","Argentina","Latin America and the Caribbean",149.4,669,12.8,14.8024,0.2834,4070,0.09,3624.66666666667,0.0803333333333333,NA,NA,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,12615,467,279.119,10.333,NA,NA,"3","1","2","0","2","1","4","1","2","1","2","1","1","1","4","1","1","2","0","0","2","1","1","2","0","0",NA,"3767","300","85.19","85.19","86.43","86.43","80.77","80.77","81.82","81.82","75","75"
"8","AUS","Australia","Asia and the Pacific",15.6,7.8,0.4,0.3058,0.0156,26629,1.04425,26011.25,1.02,NA,64.35,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,7118,102,279.139,4,NA,NA,"2","0","2","0","2","1","4","1","0",NA,"2","0","2","0","4","1","1","2","0",NA,"2","1","1","1","0","0",NA,"6703","97","69.44","69.44","63.81","63.81","66.03","66.03","64.39","64.39","75","75"
"9","AUT","Austria","Europe",70.2,36.8,1.6,4.086,0.1776,4951,0.549666666666667,5604.25,0.62225,NA,52.78,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,16459,641,1827.478,71.172,NA,NA,"2","1","2","1","2","1","3","1","0",NA,"0","1","1","1","2","2","0","2","0","0","2","1","2","2","0","0",NA,"15134","628","56.48","56.48","65.24","65.24","65.38","65.38","61.36","61.36","87.5","87.5"
"10","AZE","Azerbaijan","Europe",36.2,128,1.6,12.6242,0.1578,NA,NA,NA,NA,NA,NA,10139175,119.309,32.4,6.018,3.871,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,4271,51,421.237,5.03,NA,NA,"3","1","2","1","2","1","4","1","0","0","3","1","2","1","4","2","1","0","0","0","2","1","2","1","0","0",NA,"1617","25","85.19","85.19","79.29","79.29","75.64","75.64","80.3","80.3","50","50"
