"","world_region","country_name","C1_School.closing","C1_Flag","C2_Workplace.closing","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","E1_Income.support","E2_Debt.contract.relief","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines"
"1","Latin America and the Caribbean","Aruba",3,1,3,2,1,4,0,2,2,3,0,2,2,1,1,0,0,0
"2","Asia and the Pacific","Afghanistan",3,1,3,2,1,4,2,2,2,1,0,0,2,1,1,1,0,0
"3","Africa","Angola",3,1,2,2,1,4,1,2,2,4,0,2,1,1,2,0,0,0
"4","Europe","Albania",3,1,2,2,1,4,2,2,2,4,2,1,2,1,2,1,0,0
"5","Europe","Andorra",3,1,2,1,1,0,1,1,0,3,2,0,2,1,3,1,0,0
"6","West Asia","United Arab Emirates",3,1,2,2,1,4,1,2,1,4,0,2,2,1,3,2,0,0
"7","Latin America and the Caribbean","Argentina",3,1,2,2,1,4,2,2,2,4,1,2,2,1,1,2,0,0
"8","Asia and the Pacific","Australia",2,0,2,2,1,4,0,2,2,4,1,2,2,1,1,1,0,0
"9","Europe","Austria",3,1,2,2,1,4,0,1,1,2,2,2,2,1,2,2,0,0
"10","Europe","Azerbaijan",3,1,3,2,1,4,0,3,2,4,2,0,2,1,2,1,0,0
"12","Europe","Belgium",2,1,3,2,1,4,0,2,2,4,2,2,2,1,1,1,0,0
"13","Africa","Benin",3,1,0,2,1,4,1,0,2,2,0,0,2,1,2,2,0,0
"14","Africa","Burkina Faso",3,1,2,2,1,1,2,2,2,4,0,0,2,1,1,2,0,0
"15","Asia and the Pacific","Bangladesh",3,1,2,2,1,4,2,2,2,3,0,0,2,1,2,1,0,0
"16","Europe","Bulgaria",3,1,1,2,1,4,0,2,2,3,2,2,2,1,1,0,0,0
"17","West Asia","Bahrain",3,1,2,2,1,4,1,2,1,4,2,2,2,1,2,2,0,0
"18","Europe","Bosnia and Herz.",3,1,3,2,1,4,2,2,2,3,1,2,2,1,2,0,0,0
"19","Latin America and the Caribbean","Belize",3,1,3,2,1,3,0,0,0,4,1,0,2,1,1,2,0,0
"20","Latin America and the Caribbean","Bermuda",3,1,3,2,1,4,2,2,2,4,0,0,2,1,1,2,0,0
"21","Latin America and the Caribbean","Bolivia",3,1,3,2,1,4,2,2,2,4,1,1,2,1,0,1,0,0
"22","Latin America and the Caribbean","Brazil",3,0,3,2,0,4,2,1,2,4,1,1,2,1,1,0,0,0
"23","Latin America and the Caribbean","Barbados",3,1,3,2,1,4,1,3,2,2,1,1,2,1,2,2,0,0
"24","Asia and the Pacific","Brunei",3,1,0,2,1,3,0,0,1,4,1,0,2,1,2,1,0,0
"25","Asia and the Pacific","Bhutan",3,1,2,1,1,4,1,1,2,4,1,2,2,1,1,2,0,0
"26","Africa","Botswana",3,1,3,2,1,4,1,2,2,4,1,2,2,1,1,1,0,0
"28","North America","Canada",3,1,3,2,0,4,0,2,2,4,2,1,2,1,3,1,0,0
"29","Europe","Switzerland",3,1,2,2,1,4,0,1,1,3,2,1,2,1,1,1,0,0
"30","Latin America and the Caribbean","Chile",3,1,2,2,1,3,0,2,2,3,1,1,2,1,2,2,0,0
"31","Asia and the Pacific","China",3,0,2,2,0,4,0,1,1,3,0,0,2,1,3,2,0,0
"32","Africa","Ivory Coast",3,1,2,2,1,3,1,1,2,4,0,1,2,1,2,1,0,0
"33","Africa","Cameroon",3,1,2,2,1,3,1,0,1,4,0,0,2,1,2,0,0,0
"34","Africa","Congo (Kinshasa)",3,1,2,2,1,3,2,2,2,4,0,2,2,1,1,1,0,0
"35","Africa","Congo (Brazzaville)",3,1,3,2,1,3,2,3,2,4,1,2,2,1,1,1,0,0
"36","Latin America and the Caribbean","Colombia",3,1,2,2,1,4,1,2,2,4,1,2,2,1,2,2,0,0
"37","Africa","Cape Verde",2,1,3,2,1,0,1,2,2,4,1,2,2,1,2,1,0,0
